Nom de la gare,Code UIC complet,Année,Total Voyageurs
Woippy,87192088,2020,79458
Xertigny,87144121,2020,871
Zillisheim,87182196,2020,24257
Abancourt,87313759,2020,32396
Achères Grand Cormier,87386052,2020,120871
Acheux - Franleu,87316745,2020,0
Agen,87586008,2020,860964
Alaï,87722744,2020,32702
Albert,87313072,2020,347558
Albigny - Neuville,87721266,2020,186241
Allée de la Tour Rendez-Vous,87113878,2020,344568
Altkirch,87182238,2020,217365
Amifontaine,87171744,2020,13302
Angerville,87543090,2020,100210
Annappes,87286856,2020,882
Annecy,87746008,2020,1562888
Annemasse,87745497,2020,647893
Arbanats,87582726,2020,46502
Armentières,87286146,2020,613551
Arnage,87396549,2020,7963
Ars-sur-Moselle,87192401,2020,74062
Asnières-sur-Seine,87381137,2020,9294333
Athis-Mons,87545251,2020,921369
Aubagne,87751750,2020,634307
Aubigny-en-Artois,87342246,2020,39296
Auchy-lès-Hesdin,87317230,2020,589
Audruicq,87281428,2020,197448
Avion,87342584,2020,45458
Ax-les-Thermes,87611533,2020,35495
Ay,87171561,2020,42312
Baisieux,87286872,2020,33237
Baraqueville Carcenac Peyralès,87615757,2020,7645
Bar-sur-Aube,87118299,2020,79554
Bauvin - Provin,87345280,2020,106504
Bazancourt,87171462,2020,173338
Bazoches,87171348,2020,4467
Beaurainville,87317198,2020,1744
Beauvoir-sur-Niort,87485342,2020,25176
Beillant,87491076,2020,55
Bellenaves,87641068,2020,3307
Bellignat,87743526,2020,3355
Belloy - Saint-Martin,87276550,2020,99976
Belvezet,87783670,2020,311
Benfeld,87214122,2020,361262
Bessay-sur-Allier,87696336,2020,9102
Betton,87471045,2020,48846
Biot,87757690,2020,150711
Bitche,87193821,2020,15583
Blaisy-Bas,87713073,2020,36567
Blangy-sur-Ternoise,87317248,2020,77
Boën-sur-Lignon,87726471,2020,16541
Boigneville,87684407,2020,19320
Bois-Colombes,87381079,2020,2985695
Bois-d'Oingt - Légny,87721787,2020,23861
Boisset,87645184,2020,13
Bollwiller,87182709,2020,204231
Bolquère - Eyne,87784801,2020,2147
Boran-sur-Oise,87276444,2020,24170
Bornel - Belle-Église,87276717,2020,209769
Boulogne-sur-Mer,87317586,2020,568031
Bourgneuf-en-Retz,87481242,2020,11428
Bourron-Marlotte - Grez,87684118,2020,82729
Boutigny-sur-Essonne,87681478,2020,95542
Bram,87615054,2020,57267
Brandérion,87476242,2020,7003
Brassac-les-Mines - Sainte-Florine,87734244,2020,75737
